Variable_Name,Optimal_Value
Grid_Import[7],-9.999952474893986e-9
Grid_Import[8],-9.99995247489584e-9
Grid_Import[9],-9.999149612325433e-9
Grid_Import[10],-9.999149612307048e-9
Grid_Import[11],-9.999149612387167e-9
Grid_Import[12],-9.999149613697615e-9
Grid_Import[13],-9.999149613796339e-9
Grid_Import[14],-9.999149613676156e-9
Grid_Import[15],-9.999149613577426e-9
Grid_Import[16],-9.999149613702052e-9
Grid_Import[17],-9.999149613712943e-9
Grid_Import[18],-9.999149613862383e-9
Grid_Import[19],-9.999952474895108e-9
Grid_Import[20],-9.99995247489471e-9
Grid_Import[21],-9.999952474894862e-9
Grid_Import[22],-9.99995247489425e-9
Grid_Import[23],-9.999952474893136e-9
Grid_Import[24],-9.99995247489309e-9
Grid_Import[25],-9.99995247489421e-9
